Puntuación,Dificultad,Categoria
4.8,3.6,Malo
6.0,5.3,Malo
5.2,1.8,Bueno
8.0,3.3,Regulare
5.5,4.2,Malo
7.3,4.5,Casi malo
8.2,4.3,Casi malo
7.0,3.2,Regulare
6.6,3.4,Regulare
5.9,4.0,Malo
7.6,3.9,Casi malo
8.4,4.9,Casi malo
7.9,3.1,Regulare
7.4,4.3,Casi malo
7.3,3.2,Regulare
9.0,2.7,Muy bueno
5.7,3.7,Malo
6.0,4.7,Malo
7.2,4.4,Casi malo
9.2,1.9,Muy bueno
8.0,1.7,Muy bueno
8.0,4.1,Casi malo
7.0,3.6,Regulare
7.4,4.1,Casi malo
6.2,3.5,Regulare
8.5,3.1,Muy bueno
5.2,4.6,Malo
6.3,4.0,Malo
8.3,2.0,Muy bueno
6.5,2.0,Bueno
4.2,4.4,Malo
7.8,3.8,Casi malo
7.2,4.4,Casi malo
7.5,3.2,Regulare
7.2,2.7,Regulare
6.8,2.0,Bueno
5.4,3.3,Malo
7.3,4.8,Casi malo
7.9,2.0,Muy bueno
7.4,1.9,Bueno
7.8,2.1,Muy bueno
7.0,3.6,Regulare
7.5,4.4,Casi malo
8.3,3.9,Casi malo
8.2,4.1,Casi malo
7.6,3.1,Regulare
6.8,2.4,Bueno
7.5,3.7,Regulare
6.1,1.9,Bueno
8.1,2.2,Muy bueno
8.7,1.5,Muy bueno
5.9,4.2,Malo
3.4,5.0,Malo
7.2,3.0,Regulare
8.7,4.4,Casi malo
6.6,3.6,Regulare
5.1,0.5,Bueno
7.2,1.7,Bueno
7.3,3.2,Regulare
8.0,5.4,Casi malo
7.7,3.3,Regulare
8.3,2.5,Muy bueno
8.4,5.0,Casi malo
6.1,4.3,Malo
8.9,2.6,Muy bueno
6.9,4.2,Casi malo
6.7,0.7,Bueno
9.2,0.7,Muy bueno
6.8,3.4,Regulare
8.1,3.6,Casi malo
9.2,1.5,Muy bueno
8.5,2.1,Muy bueno
5.4,4.9,Malo
6.3,3.2,Regulare
8.3,2.0,Muy bueno
7.9,3.8,Casi malo
6.4,2.9,Regulare
7.2,2.1,Bueno
6.3,5.3,Malo
6.7,4.5,Casi malo
7.0,3.2,Regulare
