Puntuación,Dificultad,Categoria
0.0,10.0,Malo
3.8,5.8,Regular
8.5,1.9,Excelente
7.7,2.4,Bueno
8.4,1.9,Excelente
8.0,2.0,Excelente
9.6,1.5,Excelente
8.4,2.4,Excelente
8.8,1.3,Excelente
7.9,2.0,Excelente
7.0,1.6,Excelente
5.3,5.8,Regular
6.5,4.0,Bueno
8.0,1.5,Excelente
4.7,5.3,Regular
7.0,4.2,Bueno
0.0,10.0,Malo
6.3,4.6,Bueno
2.5,6.0,Regular
7.5,2.3,Bueno
10.0,3.3,Excelente
8.2,3.8,Bueno
0.0,10.0,Malo
7.3,3.6,Bueno
8.4,1.5,Excelente
7.0,5.2,Bueno
0.0,10.0,Malo
8.0,0.0,Excelente
7.0,2.0,Bueno
4.7,2.0,Bueno
6.8,4.2,Bueno
4.9,3.9,Regular
8.6,2.6,Excelente
8.0,3.1,Bueno
0.0,10.0,Malo
6.3,4.1,Bueno
5.7,4.9,Regular
8.3,1.3,Excelente
8.4,1.5,Excelente
8.5,1.8,Excelente
8.7,3.6,Bueno
0.0,10.0,Malo
0.0,10.0,Malo
4.4,2.9,Regular
8.0,1.9,Excelente
10.0,4.0,Bueno
8.2,4.3,Bueno
8.7,4.4,Bueno
0.0,10.0,Malo
9.3,1.9,Excelente
6.0,7.0,Regular
8.7,2.0,Excelente
2.0,8.0,Malo
6.3,3.2,Bueno
8.3,3.8,Bueno
5.1,4.6,Regular
6.7,3.4,Bueno
6.3,3.4,Bueno
2.0,4.0,Regular
7.1,4.0,Bueno
8.8,2.9,Excelente
8.6,3.0,Bueno
7.5,3.1,Bueno
0.0,10.0,Malo
6.8,7.5,Regular
5.3,4.9,Regular
6.0,5.3,Regular
6.9,3.6,Bueno
5.5,2.7,Bueno
8.0,0.0,Excelente
9.5,2.6,Excelente
0.0,10.0,Malo
7.5,2.7,Bueno
6.3,3.0,Bueno
9.4,2.3,Excelente
6.6,4.3,Bueno
7.0,3.3,Bueno
9.5,2.5,Excelente
9.0,2.0,Excelente
5.4,4.2,Regular
8.6,0.6,Excelente
5.9,3.4,Bueno
5.0,1.4,Bueno
6.3,4.1,Bueno
0.0,10.0,Malo
4.4,3.6,Regular
8.1,3.4,Bueno
7.5,4.3,Bueno
9.3,1.5,Excelente
2.9,4.2,Regular
0.0,10.0,Malo
8.4,3.7,Bueno
7.4,2.3,Bueno
8.0,4.2,Bueno
0.0,10.0,Malo
8.6,2.5,Excelente
6.5,4.8,Bueno
4.0,6.0,Regular
0.0,10.0,Malo
7.3,2.0,Bueno
6.7,4.0,Bueno
6.5,3.2,Bueno
6.0,4.0,Bueno
5.1,5.0,Regular
4.0,6.0,Regular
8.3,1.7,Excelente
10.0,0.0,Excelente
8.1,2.3,Excelente
8.0,2.0,Excelente
8.3,1.4,Excelente
6.6,2.9,Bueno
0.0,10.0,Malo
8.0,2.0,Excelente
8.4,1.3,Excelente
7.0,5.7,Bueno
7.7,2.1,Excelente
7.1,3.2,Bueno
7.2,2.5,Bueno
7.7,3.3,Bueno
6.0,4.3,Bueno
6.5,0.7,Excelente
